judge_id,judge_name,prefix,surname,suffix
3,Mr R.J.C. Angus ,Mr R.J.C.,Angus,
4,Judge E. A. L. Bano ,Judge E. A. L.,Bano,
5,Mrs M F Brown ,Mrs M F,Brown,
6,Ms C. Fellner ,Ms C.,Fellner,
7,Mr M. J. Goodman ,Mr M. J.,Goodman,
8,V.G.H. Hallett ,V.G.H.,Hallett,
9,His Honour Judge M. Harris ,His Honour Judge M.,Harris,
10,Mr M. Heald Q.C.,Mr M.,Heald,Q.C.
11,Mr J. M. Henty ,Mr J. M.,Henty,
12,Mrs R. F. M. Heggs ,Mrs R. F. M.,Heggs,
13,Mr A.T. Hoolahan Q.C.,Mr A.T.,Hoolahan,Q.C.
14,Judge P. L. Howell Q.C.,Judge P. L.,Howell,Q.C.
15,Judge E. Jupp ,Judge E.,Jupp,
16,Judge E. Jacobs ,Judge E.,Jacobs,
17,Mr M. H. Johnson ,Mr M. H.,Johnson,
18,Judge H. Levenson ,Judge H.,Levenson,
19,Judge A. Lloyd-Davies ,Judge A.,Lloyd-Davies,
20,His Honour Judge Machin Q.C.,His Honour Judge,Machin,Q.C.
21,His Honour Judge Martin Q.C.,His Honour Judge,Martin,Q.C.
22,Judge D. J. May Q.C.,Judge D. J.,May,Q.C.
23,Judge J. Mesher ,Judge J.,Mesher,
24,Mr J.G. Mitchell Q.C,Mr J.G.,Mitchell,Q.C
25,Mr J. B. Morcom ,Mr J. B.,Morcom,
26,Judge S.J. Pacey ,Judge S.J.,Pacey,
27,Mrs L.T. Parker ,Mrs L.T.,Parker,
28,Judge J. P. Powell ,Judge J. P.,Powell,
29,Dr D. G. Rice ,Dr D. G.,Rice,
30,Mr D. Reith Q.C.,Mr D.,Reith,Q.C.
31,Judge M. Rowland ,Judge M.,Rowland,
32,Mr R. A. Sanders ,Mr R. A.,Sanders,
33,Mr J.J. Skinner ,Mr J.J.,Skinner,
34,Judge C. Turnbull ,Judge C.,Turnbull,
35,Mr W. M. Walker Q.C.,Mr W. M.,Walker,Q.C.
36,Mr A.W.E. Wheeler C.B.E,Mr A.W.E.,Wheeler,C.B.E
37,Judge D. Williams ,Judge D.,Williams,
38, Three-Judge Panel / Tribunal of Commissioners ,,Three-Judge Panel / Tribunal of Commissioners,
39, Other Judges / Other Commissioners/Deputy Commissioners ,,Other Judges / Other Commissioners/Deputy Commissioners,
40, N/A ,,N/A,
42,Mr J Mitchell ,Mr J,Mitchell,
45,His Honour Judge G.R. Hickinbottom ,His Honour Judge G.R.,Hickinbottom,
46,Judge S M Lane ,Judge S M,Lane,
47,Judge C G Ward ,Judge C G,Ward,
48,Judge N J Wikeley ,Judge N J,Wikeley,
49,Judge A J Gamble ,Judge A J,Gamble,
50,Sir Robert Carnwath LJ,Sir Robert,Carnwath,LJ
51,His Honour Judge  Brodrick ,His Honour Judge ,Brodrick,
52,Judge F Burton ,Judge F,Burton,
53,Mr Justice Walker ,Mr Justice,Walker,
54,Judge H Carlisle QC,Judge H,Carlisle,QC
55,Her Honour Judge Beech ,Her Honour Judge,Beech,
56,His Honour Judge Pearl ,His Honour Judge,Pearl,
57,Judge M Hinchliffe ,Judge M,Hinchliffe,
58,Judge K Mullan ,Judge K,Mullan,
59,Judge O Stockman ,Judge O,Stockman,
60,Judge S. Wright ,Judge S.,Wright,
61,Judge P Gray ,Judge P,Gray,
62,Mr Justice Charles ,Mr Justice,Charles,